Sales Document;Sales Document Item;PO;Purchase Order Date;Sold-To Party;Customer;Country;Ship to;Order Quantity;QTY not delivered;Material;Customer Material;Description;Open value;Document Currency;1. confirmed ship date;Current ship date;Information 'Current ship date';'# of Days moved;Incoterms;in transit without POD
29266340;50;PO-21-15396;17.11.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;1201-4000;;BEAKER PP,4000ML== EM;60,00;EUR;05.01.2022;2022-07-13;;132;FCA;
29266565;11;80787791−O1−00548;17.11.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;7;7;567-0020;;FLTR,A-PES,1L, 90MM,0.2 EM;843,15;EUR;18.05.2022;2022-10-12;;101;FCA;
29266565;20;80787791−O1−00548;17.11.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;3;3;568-0020;;FLTR,A-PES,250ML, 50 MM,0.2 EM;176,55;EUR;16.03.2022;2022-08-17;;105;FCA;
29267396;10;PO-21-15643;23.11.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;4;4;11100-0200;;"TANK CYL W/CV LLDPE;200 GAL";2.044,00;EUR;02.03.2022;2022-11-23;;183;FCA;
29267425;50;PO-21-15652;23.11.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;53;25;362015-0125;;BTL,SQ PC 125ML,TRAY W/O CL]];2.160,00;EUR;02.02.2022;2022-05-11;;69;FCA;
29268024;10;PO-21-15798;25.11.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;3;3;94056580;;Finntip Flex Filter 300ul, 10x96/rack, s;209,25;EUR;23.02.2022;2022-05-25;;64;FCA;
29268741;40;PO-21-16016;30.11.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;94056520;;Finntip Flex Filter 100ul, 10x96/rack, s;69,75;EUR;16.03.2022;2022-06-08;;57;FCA;
29268785;50;PO-21-16022;30.11.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;1;1;3118-0050;;50MLOAKRIDGETUBEW/LID,PC,100PCS;369,60;EUR;02.11.2022;2022-12-07;;24;FCA;
29270487;20;PO-21-16492;08.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;62;13;642002-1850;;15 ml HDPE BOTTLE - STERILE;3.864,90;EUR;15.12.2021;2022-09-28;;200;FCA;C
29270487;40;PO-21-16492;08.12.2021;557344;Thermo Fisher Scientific;LT;Thermo Fisher Scientific;42;42;94056520;;Finntip Flex Filter 100ul, 10x96/rack, s;2.929,50;EUR;16.02.2022;2022-05-25;;69;FCA;
